price,areaM2,lat,lng,nrOfRooms,floorNr,nrOfFloors,yearBuilt
269000,30,52.19108749999999,20.989615500000014,1,9,11,
260000,19,52.21086589999999,21.01185399999997,1,13,15,1968
450000,48,52.21067321619492,21.007071755017023,2,14,15,1975
495000,49,52.21086589999999,21.01185399999997,2,2,15,1968
320000,38,52.1895269,20.990553699999964,2,0,10,1968
385000,45,52.18298919999999,21.017360999999937,2,6,11,1976
345000,46,52.2709048,21.056738699999983,2,1,3,2004
375000,38,52.1870509,21.016140899999982,2,1,3,1966
330000,38,52.2993551,21.057521700000052,2,1,6,2017
410000,46,52.1747308,21.020933900000045,2,3,6,2006
430000,43.7,52.1898814,20.992934699999978,1,0,1,1960
345000,49.5,52.1719455,21.029047499999933,2,9,12,1982
440000,48.2,52.21049,21.00988529999995,3,12,15,1968
350000,37,52.2613722,20.98625889999994,2,5,9,1964
350000,45,52.24290629999999,20.96755680000001,3,6,7,1950
275000,31,52.18298919999999,21.017360999999937,1,4,10,1976
457000,56,52.1625452,21.03540989999999,3,2,3,
235000,29,52.239723,20.96284000000003,1,1,3,
230000,25,52.2031498,20.968820199999982,1,8,11,1969
850000,83.1,52.20242529999999,21.008709299999964,4,0,4,1993
370000,46,52.1727223,21.033070199999997,2,6,11,
258000,29,52.2658527,20.964181000000053,1,7,7,1980
298000,27.2,52.2377449,20.99487399999998,2,1,15,1970
270000,27.2,52.2377449,20.99487399999998,2,1,15,1965
275000,31,52.18875689999999,21.05368599999997,1,9,10,1974
259900,31,52.1757459,21.053172899999936,1,1,10,1975
330000,37.5,52.26076500000001,20.98478829999999,2,3,4,1965
513000,60.4,52.17405309999999,21.02132299999994,3,16,16,1993
256000,29.8,52.206196,21.049757,1,3,15,1979
499000,56,52.2022587,21.002190199999973,3,3,4,1965
479000,66.85,52.2172489,21.046419000000014,3,3,4,1932
420000,67,52.158107,21.022692000000006,4,4,4,1984
380000,51.6,52.16793449999999,21.009658299999955,2,3,3,1992
369000,39,52.192792,20.99178470000004,2,7,10,1970
330000,51.47,52.302112323357356,20.978637047607435,2,1,4,2006
360000,47,52.14036189999999,21.049819999999954,2,5,10,1983
330000,39,52.191479,20.999505999999997,2,2,4,1967
285000,41.1,52.3034384,20.983161999999993,2,3,3,2013
550000,60,52.231241,21.05576099999996,3,3,3,1938
220000,30,52.329133666609465,20.94502960265504,2,10,11,2000
297000,33,52.20606739999999,21.040877499999965,1,2,6,1955
510000,53,52.2338809,21.03269590000002,2,0,6,1936
320000,61,52.2413252,21.090022999999974,3,19,20,1980
450000,48,52.2108047,21.008316299999933,2,14,15,1975
480000,53,52.245134,20.991487000000006,2,4,6,1971
585000,61.5,52.216933,20.97786099999996,2,2,4,1936
388000,46.3,52.17136499999999,21.030625900000018,2,0,10,1978
390000,47,52.236425,20.99336029999995,2,8,15,1970
474000,53,52.210417,21.00846100000001,3,4,15,
499900,65.8,52.151288,21.034036000000015,3,0,3,
404000,51,52.1778981,20.993389699999966,2,3,6,2016
295000,37.5,52.2431706,21.084913899999947,1,2,12,2006
599000,65.3,52.13413269999999,21.05688370000007,3,0,3,2000
295000,38,52.19160822661397,20.98974945501709,2,8,10,1970
320000,38,52.1896388,20.99247390000005,2,1,10,
240000,25,52.20959860000001,21.004944000000023,1,5,10,1964
560000,58.76,52.2164709,20.97859470000003,3,2,4,1936
410000,51.5,52.12795029999999,21.063365299999987,2,4,4,1997
419000,55,52.1896388,20.99247390000005,3,3,10,
450000,53,52.2049741,21.01378920000002,2,3,4,1965
462090,63.3,52.1367154,21.056795599999987,3,3,3,1987
399000,46.5,52.231268,21.03712399999995,3,4,4,1964
1128000,105,52.2108491,20.96918979999998,4,4,6,2012
499900,56,52.19753,21.045137000000068,2,5,6,2008
399000,37,52.2099862,21.00569429999996,2,0,10,1970
438000,77,52.14069584940383,21.046735008424776,4,0,10,1983
425000,50.1,52.186955,21.014734900000008,3,1,10,1967
490000,54.4,52.19302159999999,21.066820600000028,2,6,7,2004
319000,37,52.202977,21.045293899999933,2,3,4,1960
399000,37,52.188395,21.02126899999996,2,7,10,1960
234,29,52.23102009999999,21.064808599999992,1,0,3,1980
